Temp [degC],speed [mm/s],sprayFL [uL/min],plasmaH [cm],gasFL [L/min],plasmaDC [%],PCE
150,141,3300,1.1,20,50,14.864
150,141,3300,1.1,20,50,5.009
150,141,3300,1.1,20,50,6.407
149,170,3160,1,20,35,12.449
149,170,3160,1,20,35,4.812
149,170,3160,1,20,35,14.43
142,126,3230,1.05,16,40,11.385
142,126,3230,1.05,16,40,16.902
140,155,3200,1.2,17,33,13.574
140,155,3200,1.2,17,33,12.777
140,155,3200,1.2,17,33,11.096
140,155,3200,1.2,17,33,10.954
149,148,3120,1,18,37,12.784
149,148,3120,1,18,37,13.616
149,148,3120,1,18,37,8.268
149,148,3120,1,18,37,14.344
143,163,3340,1.15,19,31,10.481
143,163,3340,1.15,19,31,15.758
143,163,3340,1.15,19,31,12.368
143,163,3340,1.15,19,31,17.318
143,163,3340,1.15,19,31,17.157
148,137,3410,1.15,18,46,8.43
148,137,3410,1.15,18,46,9.047
148,137,3410,1.15,18,46,13.016
148,137,3410,1.15,18,46,12.678
145,145,3490,1.2,19,27,10.218
145,145,3490,1.2,19,27,16.205
145,145,3490,1.2,19,27,13.95
145,145,3490,1.2,19,27,18.452
145,145,3490,1.2,19,27,18.217
145,145,3490,1.2,19,27,18.319
141,134,3050,1.2,20,48,15.279
141,134,3050,1.2,20,48,13.547
141,134,3050,1.2,20,48,6.8
146,159,3450,1.05,16,38,11.787
146,159,3450,1.05,16,38,11.902
146,159,3450,1.05,16,38,8.893
146,159,3450,1.05,16,38,16.761
141,174,3010,1,16,42,11.527
141,174,3010,1,16,42,10.477
147,152,3380,1.2,17,25,5.776
147,152,3380,1.2,17,25,16.707
147,152,3380,1.2,17,25,14.726
147,152,3380,1.2,17,25,14.589
147,151,3280,1.15,17,39,14.033
147,151,3280,1.15,17,39,13.865
147,151,3280,1.15,17,39,11.432
147,151,3280,1.15,17,39,13.788
140,150,3500,1.2,20,50,15.959
140,150,3500,1,20,50,10.594
140,150,3500,1,20,50,10.739
145,125,3000,1.2,16,50,12.694
145,125,3000,1.2,16,50,14.853
145,125,3000,1.2,16,50,14.098
145,125,3000,1.2,16,50,16.621
150,175,3500,1,16,50,9.398
150,175,3500,1,16,50,13.163
150,175,3500,1,16,50,14.988
150,175,3500,1,16,50,12.721
145,125,3500,1,20,50,5.159
145,125,3500,1,20,50,3.95
145,125,3500,1,20,50,6.879
145,125,3500,1,20,50,10.065
